Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.002,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-1.00e+00,-0.18,3.068
-9.98e-01,-0.1,3.068
-9.96e-01,-0.1,3.088
-9.94e-01,-0.02,3.088
-9.92e-01,0.06,3.128
-9.90e-01,0.06,3.128
-9.88e-01,-0.02,3.188
-9.86e-01,-0.02,3.188
-9.84e-01,-0.02,3.228
-9.82e-01,-0.02,3.228
-9.80e-01,-0.02,3.248
-9.78e-01,-0.02,3.288
-9.76e-01,-0.02,3.288
-9.74e-01,-0.02,3.308
-9.72e-01,-0.02,3.408
-9.70e-01,-0.1,3.368
-9.68e-01,-0.02,3.388
-9.66e-01,-0.02,3.408
-9.64e-01,-0.02,3.448
-9.62e-01,-0.02,3.408
-9.60e-01,4.86,3.448
-9.58e-01,4.62,3.528
-9.56e-01,4.78,3.488
-9.54e-01,4.46,3.528
-9.52e-01,4.7,3.508
-9.50e-01,4.7,3.548
-9.48e-01,4.7,3.528
-9.46e-01,4.7,3.568
-9.44e-01,4.62,3.548
-9.42e-01,4.54,3.588
-9.40e-01,4.7,3.608
-9.38e-01,4.62,3.568
-9.36e-01,4.62,3.608
-9.34e-01,4.54,3.628
-9.32e-01,4.7,3.628
-9.30e-01,4.46,3.648
-9.28e-01,4.62,3.648
-9.26e-01,4.7,3.648
-9.24e-01,-0.1,3.648
-9.22e-01,0.06,3.668
-9.20e-01,-0.1,3.688
-9.18e-01,-0.02,3.648
-9.16e-01,-0.02,3.648
-9.14e-01,-0.1,3.688
-9.12e-01,0.06,3.688
-9.10e-01,-0.1,3.688
-9.08e-01,-0.02,3.668
-9.06e-01,-0.02,3.728
-9.04e-01,-0.1,3.688
-9.02e-01,-0.02,3.688
-9.00e-01,-0.02,3.728
-8.98e-01,-0.1,3.688
