Model,DPO3032
Firmware Version,2.16

Point Format,Y,
1.368e+00,-0.02,2.95
1.372e+00,-0.1,2.934
1.376e+00,-0.02,2.886
1.380e+00,-0.02,2.846
1.384e+00,-0.1,2.798
1.388e+00,-0.1,2.798
1.392e+00,-0.1,2.734
1.396e+00,-0.02,2.694
1.400e+00,-0.02,2.646
1.404e+00,-0.02,2.63
1.408e+00,0.06,2.598
1.412e+00,-0.02,2.542
1.416e+00,0.06,2.518
1.420e+00,-0.02,2.462
1.424e+00,-0.02,2.414
1.428e+00,-0.02,2.398
1.432e+00,-0.02,2.366
1.436e+00,0.06,2.334
1.440e+00,0.06,2.294
1.444e+00,-0.02,2.262
1.448e+00,-0.18,2.246
1.452e+00,-0.02,2.206
1.456e+00,-0.02,2.19
1.460e+00,-0.02,2.174
1.464e+00,-0.1,2.022
1.468e+00,-0.02,2.118
1.472e+00,0.06,2.094
1.476e+00,-0.02,2.094
1.480e+00,-0.1,2.078
1.484e+00,-0.1,2.062
1.488e+00,-0.02,2.102
1.492e+00,-0.02,2.046
1.496e+00,-0.02,2.054
1.500e+00,-0.02,2.078
1.504e+00,0.14,2.038
1.508e+00,4.78,2.078
1.512e+00,4.62,2.07
1.516e+00,4.7,2.102
1.520e+00,4.54,2.142
1.524e+00,4.86,2.134
1.528e+00,-0.02,2.158
1.532e+00,-0.02,2.198
1.536e+00,-0.02,2.222
1.540e+00,-0.1,2.246
1.544e+00,-0.1,2.286
1.548e+00,-0.02,2.334
1.552e+00,-0.02,2.334
1.556e+00,-0.02,2.334
1.560e+00,0.06,2.39
1.564e+00,-0.02,2.446
1.568e+00,-0.02,2.47
1.572e+00,-0.02,2.518
1.576e+00,-0.02,2.582
1.580e+00,-0.02,2.598
1.584e+00,0.06,2.646
1.588e+00,-0.02,2.654
1.592e+00,-0.02,2.694
1.596e+00,-0.1,2.758
1.600e+00,-0.02,2.774
1.604e+00,-0.02,2.83
1.608e+00,0.06,2.846
1.612e+00,-0.02,2.878
1.616e+00,-0.02,2.934
1.620e+00,-0.02,2.966
1.624e+00,0.06,2.998
1.628e+00,-0.1,3.014
1.632e+00,-0.02,3.038
1.636e+00,-0.02,3.03
1.640e+00,-0.02,3.062
1.644e+00,-0.02,3.078
1.648e+00,-0.02,3.078
1.652e+00,-0.1,3.086
1.656e+00,-0.02,3.102
1.660e+00,-0.1,3.078
1.664e+00,-0.02,3.078
1.668e+00,-0.02,3.102
1.672e+00,-0.02,3.086
1.676e+00,-0.02,3.07
1.680e+00,-0.02,3.054
1.684e+00,0.06,3.062
1.688e+00,-0.02,3.014
1.692e+00,-0.02,2.99
1.696e+00,-0.02,2.974
1.700e+00,0.06,2.942
1.704e+00,0.06,2.918
1.708e+00,-0.02,2.91
1.712e+00,-0.02,2.87
1.716e+00,-0.02,2.822
1.720e+00,-0.1,2.798
1.724e+00,-0.02,2.774
1.728e+00,-0.02,2.734
1.732e+00,-0.1,2.686
1.736e+00,-0.02,2.63
1.740e+00,-0.1,2.622
1.744e+00,-0.02,2.55
1.748e+00,0.06,2.55
1.752e+00,-0.02,2.51
1.756e+00,-0.02,2.454
1.760e+00,-0.02,2.414
1.764e+00,-0.02,2.382
1.768e+00,0.06,2.342
1.772e+00,-0.1,2.286
1.776e+00,-0.02,2.286
1.780e+00,-0.02,2.254
1.784e+00,-0.02,2.222
1.788e+00,-0.02,2.214
1.792e+00,-0.02,2.174
1.796e+00,0.06,2.15
1.800e+00,-0.02,2.15
1.804e+00,0.14,2.118
1.808e+00,-0.02,2.094
1.812e+00,-0.02,2.094
1.816e+00,-0.02,2.07
1.820e+00,-0.02,2.07
1.824e+00,-0.1,2.062
1.828e+00,-0.02,2.046
1.832e+00,0.14,2.046
1.836e+00,0.06,2.054
1.840e+00,-0.02,2.078
1.844e+00,4.7,2.094
1.848e+00,4.54,2.11
1.852e+00,4.62,2.11
1.856e+00,4.62,2.134
1.860e+00,4.78,2.158
1.864e+00,0.06,2.174
1.868e+00,-0.02,2.182
1.872e+00,-0.02,2.214
1.876e+00,-0.02,2.254
1.880e+00,-0.02,2.302
1.884e+00,-0.02,2.294
1.888e+00,0.06,2.35
1.892e+00,-0.02,2.374
1.896e+00,0.06,2.406
1.900e+00,0.06,2.454
1.904e+00,-0.02,2.51
1.908e+00,-0.02,2.542
1.912e+00,-0.1,2.574
1.916e+00,-0.1,2.614
1.920e+00,0.06,2.646
1.924e+00,-0.02,2.694
1.928e+00,-0.02,2.726
1.932e+00,-0.02,2.766
1.936e+00,-0.02,2.806
1.940e+00,-0.02,2.87
1.944e+00,0.06,2.878
1.948e+00,-0.02,2.902
1.952e+00,-0.02,2.91
1.956e+00,-0.02,2.958
1.960e+00,0.06,2.998
1.964e+00,-0.02,3.03
1.968e+00,-0.1,3.022
1.972e+00,0.06,3.038
1.976e+00,-0.02,3.038
1.980e+00,-0.02,3.078
1.984e+00,0.06,3.078
1.988e+00,-0.02,3.094
1.992e+00,-0.02,3.078
1.996e+00,-0.02,3.094

